Names,Birth Year,Death Year,Location of Grave,Latitude,Longitude
George Washington,1863,1884,"
                        Menard,
                        
                        
                        Randolph County,
                        
                        
                        Illinois
                        
                        
                            
                        
                    ",,
George Washington,1881,1934,"
                        Los Angeles,
                        
                        
                        Los Angeles County,
                        
                        
                        California
                        
                        
                            
                        
                    ",,
George Washington,1884,1951,"
                        Vaughan,
                        
                        
                        Yazoo County,
                        
                        
                        Mississippi
                        
                        
                            
                        
                    ",,
George Washington,1887,1959,"
                        Americus,
                        
                        
                        Sumter County,
                        
                        
                        Georgia
                        
                        
                            
                        
                    ",,
George Washington,1907,1936,"
                        
                        Mahoning County,
                        
                        
                        Ohio
                        
                        
                            
                        
                    ",,
George Washington,1834,1906,"
                        Florence,
                        
                        
                        Città Metropolitana di Firenze,
                        
                        
                        Toscana,
                        
                        
                        Italy
                        
                    ",,
George Washington,1914,1918,"
                        Blackstone,
                        
                        
                        Nottoway County,
                        
                        
                        Virginia
                        
                        
                            
                        
                    ",,
George Washington,1849,1913,"
                        McBaine,
                        
                        
                        Boone County,
                        
                        
                        Missouri
                        
                        
                            
                        
                    ",,
George Washington,1895,1960,"
                        Opelika,
                        
                        
                        Lee County,
                        
                        
                        Alabama
                        
                        
                            
                        
                    ",,
George Washington,1912,1985,"
                        
                        Smith County,
                        
                        
                        Texas
                        
                        
                            
                        
                    ",,
George Washington,1910,1984,"
                        Kimberly,
                        
                        
                        Warren County,
                        
                        
                        Mississippi
                        
                        
                            
                        
                    ",,
George Washington,1945,2007,"
                        Santa Monica,
                        
                        
                        Los Angeles County,
                        
                        
                        California
                        
                        
                            
                        
                    ",,
George Washington,1837,1842,"
                        Rochester,
                        
                        
                        Monroe County,
                        
                        
                        New York
                        
                        
                            
                        
                    ",,
George Washington,1885,1954,"
                        Lanett,
                        
                        
                        Chambers County,
                        
                        
                        Alabama
                        
                        
                            
                        
                    ",,
George Washington,1931,1993,"
                        Sardis,
                        
                        
                        Burke County,
                        
                        
                        Georgia
                        
                        
                            
                        
                    ",,
George Washington,1895,1895,"
                        Cincinnati,
                        
                        
                        Hamilton County,
                        
                        
                        Ohio
                        
                        
                            
                        
                    ",,
George Washington,1864,1924,"
                        Salisbury,
                        
                        
                        Litchfield County,
                        
                        
                        Connecticut
                        
                        
                            
                        
                    ",,
George Washington,1853,1922,"
                        Kansas City,
                        
                        
                        Wyandotte County,
                        
                        
                        Kansas
                        
                        
                            
                        
                    ",,
George Washington,1907,1994,"
                        Buffalo,
                        
                        
                        Leon County,
                        
                        
                        Texas
                        
                        
                            
                        
                    ",,
George Washington,1929,1987,"
                        Birmingham,
                        
                        
                        Jefferson County,
                        
                        
                        Alabama
                        
                        
                            
                        
                    ",,
George Washington,1871,1918,"
                        Bronte,
                        
                        
                        Waverley Council,
                        
                        
                        New South Wales,
                        
                        
                        Australia
                        
                    ",,
George Washington,1905,1965,"
                        Richmond,
                        
                        
                        Henrico County,
                        
                        
                        Virginia
                        
                        
                            
                        
                    ",,
George Washington,1838,1921,"
                        Kansas City,
                        
                        
                        Jackson County,
                        
                        
                        Missouri
                        
                        
                            
                        
                    ",,
George Washington,1913,1987,"
                        Superior,
                        
                        
                        Washtenaw County,
                        
                        
                        Michigan
                        
                        
                            
                        
                    ",,
George Washington,1911,1975,"
                        Flint,
                        
                        
                        Genesee County,
                        
                        
                        Michigan
                        
                        
                            
                        
                    ",,
George Washington,1918,2003,"
                        
                        St. John the Baptist Parish,
                        
                        
                        Louisiana
                        
                        
                            
                        
                    ",,
George “John” Washington,1811,1886,"
                        Perth,
                        
                        
                        City of Perth,
                        
                        
                        Western Australia,
                        
                        
                        Australia
                        
                    ",,
George Washington,1846,1881,"
                        Cincinnati,
                        
                        
                        Hamilton County,
                        
                        
                        Ohio
                        
                        
                            
                        
                    ",,
George Washington,1910,1951,"
                        Cheektowaga,
                        
                        
                        Erie County,
                        
                        
                        New York
                        
                        
                            
                        
                    ",,
George Washington,1902,1977,"
                        Caldwell,
                        
                        
                        Burleson County,
                        
                        
                        Texas
                        
                        
                            
                        
                    ",,
George Washington,1945,2000,"
                        
                        Butler County,
                        
                        
                        Alabama
                        
                        
                            
                        
                    ",,
George Washington,1912,1963,"
                        Bedford Heights,
                        
                        
                        Cuyahoga County,
                        
                        
                        Ohio
                        
                        
                            
                        
                    ",,
George Washington,1935,1967,"
                        Beaumont,
                        
                        
                        Jefferson County,
                        
                        
                        Texas
                        
                        
                            
                        
                    ",,
George Washington,1900,1972,"
                        
                        Marion County,
                        
                        
                        Florida
                        
                        
                            
                        
                    ",,
George Washington,1842,1918,"
                        Highbank,
                        
                        
                        Falls County,
                        
                        
                        Texas
                        
                        
                            
                        
                    ",,
